ID,Base_MBTI,Actual_Label,TraVTI_Label,TraVTI_Vector,Score_EI,Score_SN,Score_TF,Score_JP,Stamina,Alcohol,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q1_Val,Q2_Val,Q3_Val,Q4_Val,Q5_Val,Q6_Val,Q7_Val,Q8_Val,Q9_Val,Q10_Val,Q11_Val,Q12_Val,Q13_Val,Q14_Val,Q15_Val,Q16_Val,Q17_Val,Q18_Val,Q19_Val,Q20_Val
TRV-NEW-0001,ISFP,감성 휴양가,WXISFP,"0.78, 0.22, 0.67, 0.78, 0.25, 0.10",0.7777777777777778,0.2222222222222222,0.6666666666666666,0.7777777777777778,0.25,0.1,(P) 일단 유명한 곳 몇 개만 대충 찍어둔 상태다.,(J) 어떤 변수가 생길지 모르니 최소 3시간 전에는 도착해야 안심된다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,견과류,(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"저질체력: ""걷는 건 최소한으로! 택시가 제 여행의 동반자예요.""","(S) 눈앞의 선명한 색감, 거리의 소음, 맛있는 냄새 등 오감을 온전히 즐긴다.",(I) 구글 맵을 다시 켜고 스스로 길을 찾아낼 때까지 집중한다.,(S) 이 건물의 정확한 제작 연도와 독특한 건축 양식의 디테일한 정보.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(F) ""기다리는 것도 여행의 추억 아닐까? 네가 원한다면 끝까지 기다려볼게.""","(F) ""아이고, 진짜 아쉽겠다... 너 여기 정말 기대 많이 했을 텐데.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(I) 숙소에서 조용히 맥주 한 캔 하며 나만의 시간으로 하루를 정리하고 싶다.,"🥤 불호: ""술보다는 맛있는 음료나 디저트를 즐기는 게 더 좋아요.""","(F) ""서운하지 않게 조금씩 양보해서 최대한 같이 움직일 수 있는 곳을 찾아보자.""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(P) 내일 아침의 기분과 창밖의 날씨를 보고 결정하고 싶다.,(I) 하루 한두 군데만 봐도 충분해요. 여백이 있는 여유로운 일정.,로마: 도시 전체가 박물관 같은 역사적인 웅장함,1,0,1,견과류,0,0.3125,0,1,0,0,1,1,0,1,,1,1,1,1,로마
TRV-NEW-0002,ESFJ,친절 가이드,SNESFJ,"0.22, 0.00, 1.00, 0.22, 0.75, 0.50",0.2222222222222222,0.0,1.0,0.2222222222222222,0.75,0.5,(J) 가야 할 곳들이 동선별로 핀과 메모로 빽빽하게 저장되어 있다.,(J) 어떤 변수가 생길지 모르니 최소 3시간 전에는 도착해야 안심된다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,없음 (모두 잘 먹음),(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"좋은체력: ""땡볕에 걷는 것만 아니면 하루 종일도 오케이!""","(S) 눈앞의 선명한 색감, 거리의 소음, 맛있는 냄새 등 오감을 온전히 즐긴다.",(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(S) 이 건물의 정확한 제작 연도와 독특한 건축 양식의 디테일한 정보.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(F) ""기다리는 것도 여행의 추억 아닐까? 네가 원한다면 끝까지 기다려볼게.""","(F) ""아이고, 진짜 아쉽겠다... 너 여기 정말 기대 많이 했을 텐데.""","(F) ""무리하게 계획을 짠 건 아닌지 죄송하네요. 오늘은 여기서 푹 쉬어요.""",(I) 숙소에서 조용히 맥주 한 캔 하며 나만의 시간으로 하루를 정리하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(F) ""서운하지 않게 조금씩 양보해서 최대한 같이 움직일 수 있는 곳을 찾아보자.""","(S) 한국보다 얼마나 저렴한지, 실생활에서 잘 쓸 수 있는 물건인지 따져본다.",(J) 이미 한국에서 출발 전 시간 단위로 꼼꼼하게 다 짜왔다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,런던: 오래된 박물관과 세련된 거리의 조화,0,0,1,,0,0.4375,0,0,0,0,1,1,1,1,,1,0,0,0,런던
TRV-NEW-0003,ENFJ,팀 조율자,NNENFJ,"0.33, 0.67, 1.00, 0.00, 0.50, 0.50",0.3333333333333333,0.6666666666666666,1.0,0.0,0.5,0.5,(J) 가야 할 곳들이 동선별로 핀과 메모로 빽빽하게 저장되어 있다.,(J) 어떤 변수가 생길지 모르니 최소 3시간 전에는 도착해야 안심된다.,(J) 동선 낭비가 없는 최적의 위치와 편리한 교통편.,없음 (모두 잘 먹음),(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"보통체력: ""걸을 수는 있지만 적당히 카페가 나오면 쉬어가야해요.""",(N) 이 풍경이 주는 영감과 내가 지금 여기서 느끼는 상념에 젖어든다.,(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(N) 이 장소에 얽힌 비극적인 전설이나 시대적 배경이 주는 드라마틱한 서사.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(F) ""기다리는 것도 여행의 추억 아닐까? 네가 원한다면 끝까지 기다려볼게.""","(F) ""아이고, 진짜 아쉽겠다... 너 여기 정말 기대 많이 했을 텐데.""","(F) ""무리하게 계획을 짠 건 아닌지 죄송하네요. 오늘은 여기서 푹 쉬어요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(F) ""서운하지 않게 조금씩 양보해서 최대한 같이 움직일 수 있는 곳을 찾아보자.""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(J) 이미 한국에서 출발 전 시간 단위로 꼼꼼하게 다 짜왔다.,(I) 하루 한두 군데만 봐도 충분해요. 여백이 있는 여유로운 일정.,아이슬란드: 지구가 아닌 것 같은 거대한 대자연의 경이로움,0,0,0,,0,0.375,1,0,1,0,1,1,1,0,,1,1,0,1,아이슬란드
TRV-NEW-0004,ENTJ,경로 대장,WNENTJ,"0.56, 1.00, 0.00, 0.22, 0.25, 0.50",0.5555555555555556,1.0,0.0,0.2222222222222222,0.25,0.5,(J) 가야 할 곳들이 동선별로 핀과 메모로 빽빽하게 저장되어 있다.,(J) 어떤 변수가 생길지 모르니 최소 3시간 전에는 도착해야 안심된다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,마라,(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"저질체력: ""걷는 건 최소한으로! 택시가 제 여행의 동반자예요.""",(N) 이 풍경이 주는 영감과 내가 지금 여기서 느끼는 상념에 젖어든다.,(I) 구글 맵을 다시 켜고 스스로 길을 찾아낼 때까지 집중한다.,(N) 이 장소에 얽힌 비극적인 전설이나 시대적 배경이 주는 드라마틱한 서사.,(N) 왠지 모를 이끌림! 나만 아는 아지트 같은 숨은 노포의 느낌이라서.,"(T) ""2시간을 여기서 다 쓰는 건 비효율적이야. 다른 대안을 찾아보자.""","(T) ""근처에 비슷한 분위기의 별점 높은 곳이 또 있어. 그리로 가자.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(T) ""서로 시간 낭비하지 말고 2시간 각자 보고 다시 만나는 건 어때?""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(J) 이미 한국에서 출발 전 시간 단위로 꼼꼼하게 다 짜왔다.,(I) 하루 한두 군데만 봐도 충분해요. 여백이 있는 여유로운 일정.,바르셀로나: 가우디 건축물의 기괴하면서도 아름다운 곡선,0,0,1,마라,0,0.3125,1,1,1,1,0,0,0,0,,0,1,0,1,바르셀로나
TRV-NEW-0005,INFJ,사색 유랑자,SOINFJ,"0.78, 1.00, 0.78, 0.00, 0.75, 0.90",0.7777777777777778,1.0,0.7777777777777778,0.0,0.75,0.9,(J) 가야 할 곳들이 동선별로 핀과 메모로 빽빽하게 저장되어 있다.,(J) 어떤 변수가 생길지 모르니 최소 3시간 전에는 도착해야 안심된다.,(J) 동선 낭비가 없는 최적의 위치와 편리한 교통편.,"유제품, 오이",(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"좋은체력: ""땡볕에 걷는 것만 아니면 하루 종일도 오케이!""",(N) 이 풍경이 주는 영감과 내가 지금 여기서 느끼는 상념에 젖어든다.,(I) 구글 맵을 다시 켜고 스스로 길을 찾아낼 때까지 집중한다.,(N) 이 장소에 얽힌 비극적인 전설이나 시대적 배경이 주는 드라마틱한 서사.,(N) 왠지 모를 이끌림! 나만 아는 아지트 같은 숨은 노포의 느낌이라서.,"(T) ""2시간을 여기서 다 쓰는 건 비효율적이야. 다른 대안을 찾아보자.""","(F) ""아이고, 진짜 아쉽겠다... 너 여기 정말 기대 많이 했을 텐데.""","(F) ""무리하게 계획을 짠 건 아닌지 죄송하네요. 오늘은 여기서 푹 쉬어요.""",(I) 숙소에서 조용히 맥주 한 캔 하며 나만의 시간으로 하루를 정리하고 싶다.,"🍺 필수: ""여행의 밤은 역시 술이지! 매일 밤 로컬 술을 즐기고 싶어요.""","(F) ""서운하지 않게 조금씩 양보해서 최대한 같이 움직일 수 있는 곳을 찾아보자.""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(J) 이미 한국에서 출발 전 시간 단위로 꼼꼼하게 다 짜왔다.,(I) 하루 한두 군데만 봐도 충분해요. 여백이 있는 여유로운 일정.,바르셀로나: 가우디 건축물의 기괴하면서도 아름다운 곡선,0,0,0,유제품|오이,0,0.4375,1,1,1,1,0,1,1,1,,1,1,0,1,바르셀로나
TRV-NEW-0006,ESTP,액티브 탐험가,WNESTP,"0.00, 0.00, 0.00, 0.67, 0.25, 0.50",0.0,0.0,0.0,0.6666666666666666,0.25,0.5,(P) 일단 유명한 곳 몇 개만 대충 찍어둔 상태다.,(P) 면세 쇼핑 계획이 없다면 1.5~2시간 전에도 충분하다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,오이,(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"저질체력: ""걷는 건 최소한으로! 택시가 제 여행의 동반자예요.""","(S) 눈앞의 선명한 색감, 거리의 소음, 맛있는 냄새 등 오감을 온전히 즐긴다.",(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(S) 이 건물의 정확한 제작 연도와 독특한 건축 양식의 디테일한 정보.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(T) ""2시간을 여기서 다 쓰는 건 비효율적이야. 다른 대안을 찾아보자.""","(T) ""근처에 비슷한 분위기의 별점 높은 곳이 또 있어. 그리로 가자.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(T) ""서로 시간 낭비하지 말고 2시간 각자 보고 다시 만나는 건 어때?""","(S) 한국보다 얼마나 저렴한지, 실생활에서 잘 쓸 수 있는 물건인지 따져본다.",(J) 이미 한국에서 출발 전 시간 단위로 꼼꼼하게 다 짜왔다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,도쿄: 골목길 뒤편 작은 심야식당에서 느낀 아늑함,1,1,1,오이,0,0.3125,0,0,0,0,0,0,0,0,,0,0,0,0,도쿄
TRV-NEW-0007,ENFP,영감 수집가,NNENFP,"0.00, 1.00, 0.78, 0.78, 0.50, 0.50",0.0,1.0,0.7777777777777778,0.7777777777777778,0.5,0.5,(J) 가야 할 곳들이 동선별로 핀과 메모로 빽빽하게 저장되어 있다.,(P) 면세 쇼핑 계획이 없다면 1.5~2시간 전에도 충분하다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,"해산물(알러지), 향신료(강함)",(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"보통체력: ""걸을 수는 있지만 적당히 카페가 나오면 쉬어가야해요.""",(N) 이 풍경이 주는 영감과 내가 지금 여기서 느끼는 상념에 젖어든다.,(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(N) 이 장소에 얽힌 비극적인 전설이나 시대적 배경이 주는 드라마틱한 서사.,(N) 왠지 모를 이끌림! 나만 아는 아지트 같은 숨은 노포의 느낌이라서.,"(F) ""기다리는 것도 여행의 추억 아닐까? 네가 원한다면 끝까지 기다려볼게.""","(F) ""아이고, 진짜 아쉽겠다... 너 여기 정말 기대 많이 했을 텐데.""","(F) ""무리하게 계획을 짠 건 아닌지 죄송하네요. 오늘은 여기서 푹 쉬어요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(T) ""서로 시간 낭비하지 말고 2시간 각자 보고 다시 만나는 건 어때?""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(P) 내일 아침의 기분과 창밖의 날씨를 보고 결정하고 싶다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,도쿄: 골목길 뒤편 작은 심야식당에서 느낀 아늑함,0,1,1,해산물(알러지)|향신료(강함),0,0.375,1,0,1,1,1,1,1,0,,0,1,1,0,도쿄
TRV-NEW-0008,ESTP,액티브 탐험가,WXESTP,"0.00, 0.00, 0.22, 1.00, 0.25, 0.10",0.0,0.0,0.2222222222222222,1.0,0.25,0.1,(P) 일단 유명한 곳 몇 개만 대충 찍어둔 상태다.,(P) 면세 쇼핑 계획이 없다면 1.5~2시간 전에도 충분하다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,민트초코,(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"저질체력: ""걷는 건 최소한으로! 택시가 제 여행의 동반자예요.""","(S) 눈앞의 선명한 색감, 거리의 소음, 맛있는 냄새 등 오감을 온전히 즐긴다.",(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(S) 이 건물의 정확한 제작 연도와 독특한 건축 양식의 디테일한 정보.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(T) ""2시간을 여기서 다 쓰는 건 비효율적이야. 다른 대안을 찾아보자.""","(T) ""근처에 비슷한 분위기의 별점 높은 곳이 또 있어. 그리로 가자.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🥤 불호: ""술보다는 맛있는 음료나 디저트를 즐기는 게 더 좋아요.""","(F) ""서운하지 않게 조금씩 양보해서 최대한 같이 움직일 수 있는 곳을 찾아보자.""","(S) 한국보다 얼마나 저렴한지, 실생활에서 잘 쓸 수 있는 물건인지 따져본다.",(P) 내일 아침의 기분과 창밖의 날씨를 보고 결정하고 싶다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,로마: 도시 전체가 박물관 같은 역사적인 웅장함,1,1,1,민트초코,0,0.3125,0,0,0,0,0,0,0,0,,1,0,1,0,로마
TRV-NEW-0009,ESTP,액티브 탐험가,NNESTP,"0.00, 0.00, 0.22, 1.00, 0.50, 0.50",0.0,0.0,0.2222222222222222,1.0,0.5,0.5,(P) 일단 유명한 곳 몇 개만 대충 찍어둔 상태다.,(P) 면세 쇼핑 계획이 없다면 1.5~2시간 전에도 충분하다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,해산물(알러지),(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"보통체력: ""걸을 수는 있지만 적당히 카페가 나오면 쉬어가야해요.""","(S) 눈앞의 선명한 색감, 거리의 소음, 맛있는 냄새 등 오감을 온전히 즐긴다.",(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(S) 이 건물의 정확한 제작 연도와 독특한 건축 양식의 디테일한 정보.,"(S) 리뷰가 검증된 곳이자, 사진이 예쁘게 나와 실패 없는 핫플이라서.","(F) ""기다리는 것도 여행의 추억 아닐까? 네가 원한다면 끝까지 기다려볼게.""","(T) ""근처에 비슷한 분위기의 별점 높은 곳이 또 있어. 그리로 가자.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(T) ""서로 시간 낭비하지 말고 2시간 각자 보고 다시 만나는 건 어때?""","(S) 한국보다 얼마나 저렴한지, 실생활에서 잘 쓸 수 있는 물건인지 따져본다.",(P) 내일 아침의 기분과 창밖의 날씨를 보고 결정하고 싶다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,런던: 오래된 박물관과 세련된 거리의 조화,1,1,1,해산물(알러지),0,0.375,0,0,0,0,1,0,0,0,,0,0,1,0,런던
TRV-NEW-0010,ENTP,발굴 요원,NNENTP,"0.00, 1.00, 0.00, 1.00, 0.50, 0.50",0.0,1.0,0.0,1.0,0.5,0.5,(P) 일단 유명한 곳 몇 개만 대충 찍어둔 상태다.,(P) 면세 쇼핑 계획이 없다면 1.5~2시간 전에도 충분하다.,(P) 위치가 조금 멀더라도 숙소 자체의 무드와 특별한 감성.,"고수, 민트초코",(E) 에너지가 올라왔어요! 새로운 동네가 궁금하니 바로 탐험을 시작한다.,"보통체력: ""걸을 수는 있지만 적당히 카페가 나오면 쉬어가야해요.""",(N) 이 풍경이 주는 영감과 내가 지금 여기서 느끼는 상념에 젖어든다.,(E) 당황하지 않고 주변 현지인에게 바로 말을 걸어 길을 묻는다.,(N) 이 장소에 얽힌 비극적인 전설이나 시대적 배경이 주는 드라마틱한 서사.,(N) 왠지 모를 이끌림! 나만 아는 아지트 같은 숨은 노포의 느낌이라서.,"(T) ""2시간을 여기서 다 쓰는 건 비효율적이야. 다른 대안을 찾아보자.""","(T) ""근처에 비슷한 분위기의 별점 높은 곳이 또 있어. 그리로 가자.""","(T) ""상황을 분석해서 이동을 최소화한 다른 효율적인 동선을 바로 짜볼게요.""",(E) 낯선 사람과도 기분 좋게 건배할 수 있는 그 분위기에 합류하고 싶다.,"🍹 선택: ""분위기에 따라 한 잔 정도면 충분해요. 필수는 아니에요.""","(T) ""서로 시간 낭비하지 말고 2시간 각자 보고 다시 만나는 건 어때?""","(N) ""여기서만 살 수 있어!""라는 특별한 희소성과 장소의 의미에 집중한다.",(P) 내일 아침의 기분과 창밖의 날씨를 보고 결정하고 싶다.,(E) 아침부터 밤까지! 온 에너지를 쏟아붓는 '뽕을 뽑는' 꽉 찬 일정.,아이슬란드: 지구가 아닌 것 같은 거대한 대자연의 경이로움,1,1,1,고수|민트초코,0,0.375,1,0,1,1,0,0,0,0,,0,1,1,0,아이슬란드
